step,spot,ending_pnl,realized_pnl,unrealized_pnl,gross_spread_captured,hedge_costs,total_signed_markout,net_delta,net_gamma,net_vega,inventory_contracts,max_single_contract_position,hedge_trade_count,trade_count,toxic_fill_count,toxic_fill_rate,worst_drawdown
30,86.801423,2944.956633,3519.056349,-574.099716,3539.420839,20.36449,399.522406,-103.713159,-30.571222,-8279.731107,44,6,16,29,16,0.551724,340.165439
60,79.921142,3945.451185,4771.238675,-825.787489,4803.648034,32.409359,-622.718363,-8.334617,-8.113491,-7059.948188,69,12,27,53,34,0.641509,1481.968967
90,86.035898,5685.653644,7002.278937,-1316.625292,7045.001895,42.722958,361.389924,-23.500353,-20.753197,-8947.459365,92,14,35,76,45,0.592105,1544.183231
120,95.265267,19139.821546,21202.355861,-2062.534315,21259.032668,56.676807,12865.419156,-103.72965,-91.068724,-35558.794023,107,12,48,100,59,0.59,4408.321671
150,96.22773,714.899785,3198.129503,-2483.229718,3266.399737,68.270234,-6963.730003,18.780773,-70.636074,-3435.191352,129,12,61,126,71,0.563492,18713.604152
180,91.988394,4068.165846,7393.536787,-3325.370941,7481.062907,87.52612,-5339.309777,8.935002,9.911288,19732.237158,157,14,76,152,85,0.559211,18713.604152
