ts_local,symbol,side,price,qty,maker,order_id
1772138847.245,ETHUSDT,bid,2026.44,0.001,True,ETHUSDT-bid-1772138846933039-386
1772138849.445,BTCUSDT,bid,67367.30,0.001,True,BTCUSDT-bid-1772138849235494-525
1772138849.751,BTCUSDT,ask,67394.20,0.001,True,BTCUSDT-ask-1772138849485494-532
