symbol,base_asset,market_type,last_price,crime_pump_score,crime_ignition_score,crime_exhaustion_score,crime_pump_flag,ignition_setup_flag,exhaustion_flag,squeeze_risk_flag,blowoff_risk_flag,hour_return_pct,hour_return_z,day_return_pct,hour_volume_multiple,hour_trade_count_multiple,hour_upper_wick_pct,hour_close_location_pct,oi_value_usdt,oi_delta_pct,oi_to_24h_volume_pct,carry_funding_pct,predicted_funding_pct,premium_index_pct,basis_rate_pct,crime_carry_stress_score,taker_buy_sell_ratio,taker_buy_share_pct,long_short_account_ratio,long_account_pct,top_trader_position_ratio,top_trader_long_position_pct,top_trader_account_ratio,top_trader_long_account_pct,crowd_top_position_divergence_pct,crowd_top_account_divergence_pct,ask_depth_1pct_usdt,ask_depth_to_24h_volume_pct,broke_high_5d,broke_high_20d,broke_high_90d
币安人生USDT,币安人生,COIN,0.45404,42.525000000000006,39.2,40.650000000000006,false,false,false,false,false,,,,,,,,,,,0.000316,0.000316,0.003675175294981395,0.003675175294981395,70,,,0.6152,38.09,,,,,,,,,false,false,false
ZECUSDT,ZEC,COIN,311.95,69.89166666666667,75.19999999999999,51.78333333333333,false,false,false,false,false,0.5211852137824602,0.5148091180373698,-2.775616890188881,0.5482585317195326,0.5898197867950699,1.948051948052032,98.05194805194797,150295855.5037437,0.4007186920513828,35.75740824673678,0.0033429999999999996,0.0033429999999999996,-0.05336307376460904,-0.02,50.833333333333336,1.0662,51.6017852052309,0.7544,43,1.0905,52.16,0.7355,42.38,-9.159999999999997,0.6199999999999974,499060.57515000016,0.11873323230157411,false,false,false
GUNUSDT,GUN,COIN,0.02558,82.45833333333333,94.14999999999999,56.11666666666666,false,false,false,false,false,3.0125523012552335,0.5113395920700025,45.33648170011806,1.935320770711986,1.82027995617564,19.047619047619087,80.9523809523809,14720164.7746621,4.56270809348065,4.8403070144865845,-0.007888000000000001,-0.007888000000000001,-0.06160265273983443,-0.13999999999999999,34.166666666666664,1.034,50.83594655570529,0.8139,44.87,1.3926,58.199999999999996,0.7446,42.68,-13.329999999999998,2.1899999999999977,141617.59939000002,0.046566914854246466,true,true,false
BTCUSDT,BTC,COIN,75345.8,58.80833333333333,60.95,68.01666666666668,false,false,true,false,false,-0.4864665559198733,-1.4290224805869303,-0.060521118685108455,0.7722390789329742,0.9319450357649628,88.27117053718047,11.72882946281953,7170775326,-0.5969319696300768,58.757316392134086,-0.002887,-0.002887,-0.06366768370411849,-0.06,34.166666666666664,0.9187,47.881341992070645,0.8886,47.05,0.7863,44.019999999999996,0.8667,46.43,3.030000000000001,0.6199999999999974,97295.82819999997,0.0007972417906406625,false,false,false
SKYAIUSDT,SKYAI,COIN,0.15937,45.09166666666667,39.2,45.78333333333333,false,false,false,false,false,,,,,,,,,,,0.005,0.005,0.15441363005604417,0.15441363005604417,93.33333333333333,,,1.0593,51.44,,,,,,,,,false,false,false
HYPEUSDT,HYPE,COIN,40.729,57.21666666666667,59.800000000000004,70.13333333333334,false,false,true,false,false,-1.0179538883895,-1.276710465601862,-5.602409638554217,0.9788067045590468,0.9632235694850622,91.63424124513638,8.365758754863622,195721017.9149066,-0.08820539954899065,42.55855595543145,-0.004139,-0.004139,-0.036510245072340054,0.01,48.333333333333336,0.8221,45.11803076286527,1.1978,54.50000000000001,1.26,55.75,1.0379,50.93,-1.249999999999993,3.5700000000000074,237919.7346999999,0.05173445575749872,false,false,false
AAVEUSDT,AAVE,COIN,88.11,38.583333333333336,39.2,32.766666666666666,false,false,false,false,false,,,,,,,,,,,-0.0036699999999999997,-0.0036699999999999997,-0.09686270070185823,-0.09686270070185823,34.166666666666664,,,1.3736,57.87,,,,,,,,,false,false,false
ORDIUSDT,ORDI,COIN,4.549,39.866666666666674,39.2,35.33333333333333,false,false,false,false,false,,,,,,,,,,,0.000572,0.000572,-0.13687460952922093,-0.13687460952922093,45.833333333333336,,,1.3923,58.199999999999996,,,,,,,,,false,false,false
HIGHUSDT,HIGH,COIN,0.3182,38.583333333333336,39.2,32.766666666666666,false,false,false,false,false,,,,,,,,,,,-0.122035,-0.122035,-0.1631956224405373,-0.1631956224405373,34.166666666666664,,,1.4504,59.19,,,,,,,,,false,false,false
PIEVERSEUSDT,PIEVERSE,COIN,0.9184,68.65833333333332,71.85000000000001,57.016666666666666,false,false,false,false,false,1.0625479241975988,-0.056552495360656166,20.349595617010173,0.3705447730623099,0.4456430225716966,35.96774193548388,64.03225806451613,16668255.2918756,2.6803015197663926,0.9501783417531258,-0.825097,-0.825097,-1.218070329895304,-1.7399999999999998,34.166666666666664,0.9949,49.87196247790224,1.4752,59.599999999999994,1.0003,50.01,1.4655,59.440000000000005,9.589999999999996,0.15999999999998948,56249.41729999999,0.0032065130464341137,true,true,true
SUIUSDT,SUI,COIN,0.9409,40.96666666666667,39.2,37.53333333333334,false,false,false,false,false,,,,,,,,,,,0.0054150000000000005,0.0054150000000000005,-0.024090081323763987,-0.024090081323763987,55.833333333333336,,,1.8662,65.11,,,,,,,,,false,false,false
BASEDUSDT,BASED,COIN,0.10511,38.583333333333336,39.2,32.766666666666666,false,false,false,false,false,,,,,,,,,,,-0.00582,-0.00582,-0.1373550695039399,-0.1373550695039399,34.166666666666664,,,1.9197,65.75,,,,,,,,,false,false,false
ETHUSDT,ETH,COIN,2301.57,58.925,56.4,75.85,false,false,true,false,false,-0.5932434243809293,-1.3102278606748488,-0.4921310964525194,0.6415714210561528,0.8713279021556939,88.64602307225343,11.353976927746581,4937842089.54657,-0.8359060050244227,46.64648540520962,0.000266,0.000266,-0.032782062503961235,-0.032782062503961235,42.5,0.8924,47.15740228157055,1.9762,66.4,1.0827,51.980000000000004,1.5227,60.36,14.420000000000002,6.040000000000006,1126280.1720099999,0.010639670255365696,false,false,false
ADAUSDT,ADA,COIN,0.246,38.583333333333336,39.2,32.766666666666666,false,false,false,false,false,,,,,,,,,,,-0.000115,-0.000115,-0.08734724900876434,-0.08734724900876434,34.166666666666664,,,2.1407,68.16,,,,,,,,,false,false,false
SOLUSDT,SOL,COIN,85.36,59.475000000000016,57.400000000000006,76.75,false,false,true,false,false,-0.6525285481239651,-1.3392566426128814,-0.6525285481239651,0.9319779443150927,0.826359831465233,92.30769230769063,7.692307692309375,781415251.2253,-0.647323571560976,42.2398925541745,0.007757,0.007757,-0.031176098897665774,-0.03,57.5,0.9525,48.783691302290286,2.4165,70.73,1.5485,60.760000000000005,2.6153,72.34,9.969999999999999,-1.6099999999999994,12250431.7471,0.6622047879515439,false,false,false
